,,,,total,total,total,fatal,fatal,fatal
vax_name,,,,astra,moderna,pfizer,astra,moderna,pfizer
name0,name1,reaction name,level,,,,,,
Blood disorders,Anaemia deficiencies,Anaemia folate deficiency,3,3.0,,1.0,0.0,,0.0
Blood disorders,Anaemia deficiencies,Anaemia vitamin B12 deficiency,3,16.0,,7.0,0.0,,0.0
Blood disorders,Anaemia deficiencies,Deficiency anaemia,3,2.0,,1.0,0.0,,0.0
Blood disorders,Anaemia deficiencies,Iron deficiency anaemia,3,17.0,3.0,10.0,0.0,0.0,0.0
Blood disorders,Anaemia deficiencies,Pernicious anaemia,3,6.0,,2.0,0.0,,0.0
Blood disorders,Anaemias NEC,Anaemia,3,203.0,22.0,155.0,0.0,0.0,0.0
Blood disorders,Anaemias NEC,Anaemia macrocytic,3,,,2.0,,,0.0
Blood disorders,Anaemias NEC,Anaemia megaloblastic,3,,,1.0,,,0.0
Blood disorders,Anaemias NEC,Autoimmune anaemia,3,2.0,1.0,3.0,0.0,0.0,0.0
Blood disorders,Anaemias NEC,Blood loss anaemia,3,4.0,,1.0,0.0,,0.0
Blood disorders,Anaemias NEC,Hypochromic anaemia,3,3.0,,,0.0,,
Blood disorders,Anaemias NEC,Microcytic anaemia,3,1.0,1.0,1.0,0.0,0.0,0.0
Blood disorders,Anaemias NEC,Normocytic anaemia,3,4.0,1.0,1.0,0.0,0.0,0.0
Blood disorders,Anaemias haemolytic NEC,Coombs negative haemolytic anaemia,3,,,1.0,,,0.0
Blood disorders,Anaemias haemolytic NEC,Haemolytic anaemia,3,10.0,3.0,8.0,0.0,0.0,0.0
Blood disorders,Anaemias haemolytic immune,Autoimmune haemolytic anaemia,3,10.0,1.0,19.0,0.0,0.0,0.0
Blood disorders,Anaemias haemolytic immune,Cold type haemolytic anaemia,3,1.0,,2.0,0.0,,0.0
Blood disorders,Anaemias haemolytic immune,Evans syndrome,3,1.0,,1.0,0.0,,0.0
Blood disorders,Anaemias haemolytic immune,Warm autoimmune haemolytic anaemia,3,,,2.0,,,0.0
Blood disorders,Anaemias haemolytic mechanical factor,Atypical haemolytic uraemic syndrome,3,1.0,,,0.0,,
Blood disorders,Anaemias haemolytic mechanical factor,Microangiopathic haemolytic anaemia,3,1.0,,1.0,0.0,,0.0
Blood disorders,Anaemias haemolytic mechanical factor,Red cell fragmentation syndrome,3,1.0,,,0.0,,
Blood disorders,Bleeding tendencies,Haemorrhagic diathesis,3,,,1.0,,,0.0
Blood disorders,Bleeding tendencies,Increased tendency to bruise,3,145.0,7.0,58.0,0.0,0.0,0.0
Blood disorders,Bleeding tendencies,Spontaneous haematoma,3,8.0,1.0,2.0,0.0,0.0,0.0
Blood disorders,Bleeding tendencies,Spontaneous haemorrhage,3,2.0,,,0.0,,
Blood disorders,Blood disorders Blood disorders cont'd,Thrombocytopenia,3,,,246.0,,,2.0
Blood disorders,Blood disorders Blood disorders cont'd,Thrombocytopenic purpura,3,,,9.0,,,0.0
Blood disorders,Blood disorders Blood disorders cont'd,Thrombotic thrombocytopenic purpura,3,,,8.0,,,0.0
Blood disorders,Blood disordersBlood disorders cont'd,Leukocytosis,3,5.0,,,0.0,,
Blood disorders,Blood disordersBlood disorders cont'd,Lymphocytosis,3,11.0,,,0.0,,
Blood disorders,Blood disordersBlood disorders cont'd,Monocytosis,3,2.0,,,0.0,,
Blood disorders,Blood disordersBlood disorders cont'd,Neutrophilia,3,14.0,,,0.0,,
Blood disorders,Blood disordersBlood disorders cont'd,Splenic varices,3,1.0,,,0.0,,
Blood disorders,Blood disordersBlood disorders cont'd,Splenic vein thrombosis,3,13.0,,,0.0,,
Blood disorders,Blood disordersBlood disorders cont'd,Splenomegaly,3,8.0,,,0.0,,
Blood disorders,Blood disordersBlood disorders cont'd,Splenorenal shunt,3,1.0,,,0.0,,
