,2023-01-17 00:00:00,2023-01-17 00:00:00,2023-01-17 00:00:00,2023-01-17 00:00:00,2023-01-17 00:00:00,2023-01-17 00:00:00,2023-01-17 00:00:00,2023-01-17 00:00:00,2023-01-17 00:00:00,2023-01-17 00:00:00,2023-01-18 00:00:00,2023-01-18 00:00:00,2023-01-18 00:00:00,2023-01-18 00:00:00,2023-01-18 00:00:00,2023-01-18 00:00:00,2023-01-18 00:00:00,2023-01-18 00:00:00,2023-01-18 00:00:00,2023-01-18 00:00:00
,"10,20,30","10,20,30","10,20,30","10,20,30",obs10,obs10,obs20,obs20,obs30,obs30,"10,20,30","10,20,30","10,20,30","10,20,30",obs10,obs10,obs20,obs20,obs30,obs30
,"top3,5","top3,5","top3,5","top3,5",,,,,,,"top3,5","top3,5","top3,5","top3,5",,,,,,
,top,+SL,TopvBot,mix,rt,rank,rt,rank,rt,rank,top,+SL,TopvBot,mix,rt,rank,rt,rank,rt,rank
BTC,0.0,0.0,0.0,0.0,0.24736463448966228,11.0,0.2772353935473504,19.0,0.2626684693285608,16.0,0.0,0.0,0.0,0.0,0.21157788231200336,6.0,0.24758694367441092,16.0,0.26235485629191313,17.0
ETH,0.0,0.0,0.0,0.0,0.23851527209727275,13.0,0.3154392303491147,15.0,0.3233225702838396,11.0,0.0,0.0,0.0,0.0,0.18389192038196778,7.0,0.2723221351281553,12.0,0.30791560343203517,12.0
BNB,0.0,0.0,0.0,0.0,0.14580941446613038,24.0,0.2245398773006131,23.0,0.19282868525896357,22.0,0.0,0.0,0.0,0.0,0.052382684612586106,26.0,0.17458384084449818,23.0,0.20341098169717098,22.0
XRP,0.0,0.0,0.0,0.0,0.12376525276002348,27.0,0.08712759977515483,29.0,0.10545870248642508,28.0,0.0,0.0,0.0,0.0,0.09820393974507557,18.0,0.10815551008477087,28.0,0.1186190616701095,27.0
ADA,0.0,0.0,0.0,0.0,0.24819364161849666,10.0,0.3920225624496365,6.0,0.29936066190297006,12.0,0.0,0.0,0.0,0.0,0.10558170813718859,15.0,0.34754098360655683,7.0,0.3001186239620395,14.0
DOGE,0.0,0.0,0.0,0.0,0.14766588170106654,23.0,0.17684659090909083,26.0,0.06350062415848301,29.0,0.0,0.0,0.0,0.0,0.09928018470732036,17.0,0.14096419509444602,25.0,0.12369740417146624,26.0
MATIC,0.0,0.0,0.0,0.0,0.23291578816817538,14.0,0.27009071163919773,21.0,0.22335712527688867,19.0,0.0,0.0,0.0,0.0,0.1296538598786725,14.0,0.22242244819153045,20.0,0.22747835078195644,19.0
SOL,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.48325159543386387,1.0,0.9692815087665054,1.0,0.5637552747846255,2.0,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.32468289682207785,1.0,0.9150968166657876,1.0,0.5486352284622622,2.0
DOT,0.0,0.0,0.0,0.0,0.2770154373927962,6.0,0.3896406906206258,7.0,0.2789349366544993,14.0,0.0,0.0,0.0,0.0,0.17903025279734797,8.0,0.320491993501973,8.0,0.26980584690917286,16.0
SHIB,0.0,0.0,0.0,0.0,0.2529691211401426,9.0,0.33207070707070696,13.0,0.23391812865497097,18.0,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.2994219653179193,4.0,0.3707317073170735,6.0,0.38083538083538104,6.0
LTC,0.0,0.0,0.0,0.0,0.13900523560209388,26.0,0.31212303980699696,16.0,0.3479061918341393,8.0,0.0,0.0,0.0,0.0,0.05821047280122005,23.0,0.24902490249024956,15.0,0.3077710449997997,13.0
TRX,0.0,0.0,0.0,0.0,0.18592578350317268,18.0,0.13884785819793222,28.0,0.14689475641502425,25.0,0.0,0.0,0.0,0.0,0.08935466078323229,19.0,0.09681599407626806,29.0,0.10623599701269604,28.0
AVAX,0.15555555555555556,0.15555555555555556,0.15555555555555556,0.15555555555555556,0.4309669613184226,2.0,0.4998984652534755,4.0,0.4093765126145399,4.0,0.15555555555555556,0.15555555555555556,0.15555555555555556,0.15555555555555556,0.31589604992639275,2.0,0.4489237926785139,4.0,0.39676762454873415,5.0
UNI,0.0,0.0,0.0,0.0,0.17140746213520486,21.0,0.27605633802816887,20.0,0.19031531531531476,24.0,0.0,0.0,0.0,0.0,0.08924731182795709,20.0,0.2040412044374007,21.0,0.19410609037328053,23.0
ATOM,0.0,0.0,0.0,0.0,0.1921341702628483,17.0,0.33074228158528607,14.0,0.3723608445297508,7.0,0.0,0.0,0.0,0.0,0.10228457673713165,16.0,0.2463022508038588,17.0,0.34521055067098594,7.0
LINK,0.0,0.0,0.0,0.0,0.16706689536878194,22.0,0.19894273127753315,25.0,0.14372163388804826,26.0,0.0,0.0,0.0,0.0,0.07026664430655694,22.0,0.13943938582395998,26.0,0.10224525043177857,29.0
XMR,0.0,0.0,0.0,0.0,0.10134701731879447,28.0,0.16961852861035465,27.0,0.1923611111111121,23.0,0.0,0.0,0.0,0.0,0.05280103026400562,25.0,0.12293956043956111,27.0,0.13699582753824857,24.0
ETC,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.06328760273997647,29.0,0.3980322827239877,5.0,0.3261134325462167,10.0,0.0,0.0,0.0,0.0,0.0006282078960349047,29.0,0.2836021987014805,9.0,0.3258259552377136,9.0
BCH,0.0,0.0,0.0,0.0,0.210059171597633,16.0,0.2368951612903225,22.0,0.2029411764705884,21.0,0.0,0.0,0.0,0.0,0.1600771456123431,11.0,0.22256097560975574,19.0,0.22256097560975618,20.0
XLM,0.0,0.0,0.0,0.0,0.14021164021164023,25.0,0.20223152022315194,24.0,0.1282722513089003,27.0,0.0,0.0,0.0,0.0,0.0711513583441139,21.0,0.1499999999999999,24.0,0.13114754098360626,25.0
NEAR,0.2111111111111111,0.2111111111111111,0.2111111111111111,0.2111111111111111,0.2970322005510784,5.0,0.5381025151140106,3.0,0.4836865243283335,3.0,0.17777777777777778,0.17777777777777778,0.17777777777777778,0.17777777777777778,0.16707104719786914,9.0,0.46847488730704123,3.0,0.5066515824452467,3.0
LDO,0.17777777777777778,0.17777777777777778,0.17777777777777778,0.17777777777777778,0.22756181281239218,15.0,0.8130779090344855,2.0,0.7631766821803256,1.0,0.17777777777777778,0.17777777777777778,0.17777777777777778,0.17777777777777778,0.007917194635354452,28.0,0.8021448694972508,2.0,0.8230118100914297,1.0
APE,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.17623049219687892,20.0,0.3533149171270713,10.0,0.3986518964666108,5.0,0.0,0.0,0.0,0.0,0.025398966059789085,27.0,0.26056921801602617,14.0,0.32051640279744564,11.0
QNT,0.0,0.0,0.0,0.0,0.24234470691163623,12.0,0.28739800543971006,17.0,0.29562043795620485,13.0,0.0,0.0,0.0,0.0,0.15000000000000036,12.0,0.20397111913357446,22.0,0.2729007633587792,15.0
FIL,0.0,0.0,0.0,0.0,0.25769040593062575,8.0,0.3501365227390201,11.0,0.333576420429754,9.0,0.0,0.0,0.0,0.0,0.14677262172883765,13.0,0.2737966681563895,11.0,0.3251814278941483,10.0
ALGO,0.0,0.0,0.0,0.0,0.1774110366168129,19.0,0.3670658682634731,8.0,0.21359910178240993,20.0,0.0,0.0,0.0,0.0,0.055694932262920105,24.0,0.2766990291262137,10.0,0.2076906812325987,21.0
VET,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.29993891264508266,4.0,0.3614843250159949,9.0,0.2788461538461544,15.0,0.0,0.0,0.0,0.0,0.16198830409356746,10.0,0.26399491094147587,13.0,0.25839138695376884,18.0
ICP,0.0,0.0,0.0,0.0,0.2683109118086697,7.0,0.28593079060368765,18.0,0.38342391304347845,6.0,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.212150668286756,5.0,0.24141363862618226,18.0,0.42636545610523324,4.0
HBAR,0.08888888888888889,0.08888888888888889,0.08888888888888889,0.08888888888888889,0.3737373737373735,3.0,0.33660933660933656,12.0,0.24200913242009148,17.0,0.12222222222222223,0.12222222222222223,0.12222222222222223,0.12222222222222223,0.31100478468899495,3.0,0.39440203562340925,5.0,0.3398533007334963,8.0
