,index,qty_tm1,value_tm1,w%_tm1,qty_trd,px_trd,value_trd,qty_t,value_t,w%_t,px_tm1,px_t,rt_1d%,PnL_tm1,PnL_trd,PnL
0,TOTAL,,+385.2$,55.1%,,,+0.0$,,+386.0$,55.1%,,,,+0.8$,+0.0$,+0.8$
1,TRX,2729.000,+186.8$,26.7%,-,-,+0.0$,2729.000,+186.5$,26.6%,0.068,0.068,-0.2%,-0.3$,+0.0$,-0.3$
2,XMR,0.661,+101.4$,14.5%,-,-,+0.0$,0.661,+102.4$,14.6%,153.378,154.906,1.0%,+1.0$,+0.0$,+1.0$
3,BNB,0.250,+78.4$,11.2%,-,-,+0.0$,0.250,+78.7$,11.2%,313.550,314.918,0.4%,+0.3$,+0.0$,+0.3$
4,ETH,0.041,+75.7$,10.8%,-,-,+0.0$,0.041,+75.5$,10.8%,1846.530,1840.580,-0.3%,-0.2$,+0.0$,-0.2$
5,SOL,3.000,+61.8$,8.8%,-,-,+0.0$,3.000,+61.8$,8.8%,20.614,20.588,-0.1%,-0.1$,+0.0$,-0.1$
6,ICP,9.000,+48.0$,6.9%,-,-,+0.0$,9.000,+47.1$,6.7%,5.330,5.234,-1.8%,-0.9$,+0.0$,-0.9$
7,BTC,0.001,+27.7$,4.0%,-,-,+0.0$,0.001,+27.6$,3.9%,27659.700,27572.800,-0.3%,-0.1$,+0.0$,-0.1$
8,UNI,-3.000,-14.9$,-2.1%,-,-,+0.0$,-3.000,-14.9$,-2.1%,4.963,4.961,-0.0%,+0.0$,+0.0$,+0.0$
9,XLM,-175.000,-15.6$,-2.2%,-,-,+0.0$,-175.000,-15.6$,-2.2%,0.089,0.089,-0.5%,+0.1$,+0.0$,+0.1$
10,MATIC,-24.000,-21.6$,-3.1%,-,-,+0.0$,-24.000,-21.3$,-3.0%,0.900,0.887,-1.4%,+0.3$,+0.0$,+0.3$
11,LTC,-0.284,-22.1$,-3.2%,-,-,+0.0$,-0.284,-22.4$,-3.2%,77.672,78.830,1.5%,-0.3$,+0.0$,-0.3$
12,DOT,-4.200,-22.5$,-3.2%,-,-,+0.0$,-4.200,-22.3$,-3.2%,5.365,5.321,-0.8%,+0.2$,+0.0$,+0.2$
13,XRP,-52.800,-22.6$,-3.2%,-,-,+0.0$,-52.800,-22.3$,-3.2%,0.428,0.422,-1.4%,+0.3$,+0.0$,+0.3$
14,AVAX,-2.000,-30.8$,-4.4%,-,-,+0.0$,-2.000,-30.8$,-4.4%,15.400,15.389,-0.1%,+0.0$,+0.0$,+0.0$
15,1000SHIB,-4993.000,-44.5$,-6.4%,-,-,+0.0$,-4993.000,-44.0$,-6.3%,0.009,0.009,-1.1%,+0.5$,+0.0$,+0.5$
