,symbol,qty_tm1,value_tm1,w%_tm1,qty_trd,px_trd,value_trd,qty_t,value_t,w%_t,px_tm1,px_t,px_pctchg,PnL_tm1,PnL_trd,PnL
0,TOTAL,,284.8$,36.4%,,,-157.2$,,111.0$,14.5%,,,,-18.9$,2.4$,-16.6$
1,XRPUSDT,427.900,158.5$,20.2%,-53.900,0.368,-19.8$,374.000,136.3$,17.8%,0.370,0.364,-0.016,-2.5$,0.2$,-2.4$
2,TRXUSDT,2089.000,122.3$,15.6%,-2218.000,0.057,-126.2$,-129.000,-7.3$,-0.9%,0.059,0.056,-0.036,-4.4$,1.1$,-3.3$
3,XMRUSDT,0.804,114.3$,14.6%,-0.549,135.610,-74.4$,0.255,33.7$,4.4%,142.222,132.199,-0.070,-8.1$,1.9$,-6.2$
4,UNIUSDT,8.000,45.8$,5.8%,-8.000,5.553,-44.4$,0.000,0.0$,0.0%,5.723,5.586,-0.024,-1.1$,-0.3$,-1.4$
5,FILUSDT,7.700,42.4$,5.4%,5.200,5.278,27.4$,12.900,67.6$,8.8%,5.506,5.243,-0.048,-2.0$,-0.2$,-2.2$
6,BTCUSDT,0.001,20.3$,2.6%,0.000,0.000,0.0$,0.001,19.8$,2.6%,20349.367,19843.100,-0.025,-0.5$,0.0$,-0.5$
7,BNBUSDT,0.060,16.6$,2.1%,0.170,271.390,46.1$,0.230,63.2$,8.2%,276.917,274.600,-0.008,-0.1$,0.6$,0.4$
8,APEUSDT,-1.000,-4.0$,-0.5%,0.000,0.000,0.0$,-1.000,-4.0$,-0.5%,3.980,3.972,-0.002,0.0$,0.0$,0.0$
9,BCHUSDT,-0.065,-7.2$,-0.9%,0.000,0.000,0.0$,-0.065,-7.1$,-0.9%,110.120,109.241,-0.008,0.1$,0.0$,0.1$
10,AVAXUSDT,-1.000,-14.4$,-1.8%,1.000,14.803,14.8$,0.000,0.0$,0.0%,14.403,14.651,0.017,-0.2$,-0.1$,-0.4$
11,DOTUSDT,-3.000,-16.1$,-2.1%,0.000,0.000,0.0$,-3.000,-16.4$,-2.1%,5.381,5.463,0.015,-0.2$,0.0$,-0.2$
12,1000SHIBUSDT,-1661.000,-16.7$,-2.1%,964.000,0.010,9.8$,-697.000,-7.1$,-0.9%,0.010,0.010,0.007,-0.1$,-0.0$,-0.1$
13,DOGEUSDT,-256.000,-16.9$,-2.2%,-562.000,0.065,-36.6$,-818.000,-53.0$,-6.9%,0.066,0.065,-0.016,0.3$,0.1$,0.4$
14,SOLUSDT,-1.000,-17.3$,-2.2%,0.000,0.000,0.0$,-1.000,-17.5$,-2.3%,17.318,17.527,0.012,-0.2$,0.0$,-0.2$
15,MATICUSDT,-23.000,-23.4$,-3.0%,6.000,1.002,6.0$,-17.000,-17.5$,-2.3%,1.016,1.028,0.012,-0.3$,0.2$,-0.1$
16,ADAUSDT,-84.000,-26.0$,-3.3%,60.000,0.311,18.6$,-24.000,-7.4$,-1.0%,0.310,0.309,-0.003,0.1$,-0.1$,-0.0$
17,ETCUSDT,-2.070,-35.3$,-4.5%,-1.100,16.869,-18.6$,-3.170,-54.6$,-7.1%,17.050,17.217,0.010,-0.3$,-0.4$,-0.7$
18,ATOMUSDT,-5.280,-58.2$,-7.4%,3.640,10.989,40.0$,-1.640,-17.8$,-2.3%,11.022,10.853,-0.015,0.9$,-0.5$,0.4$
