,10 Mar 18:17,arrival_price,totrd_qty,totrd_usd,px_trd,qty_trd,value_trd,PnLvsLast,PnLvsArrival,!!check!!
0,TRXUSDT,0.057,-2218.00,$-127.0,0.057,-2218.00,$-126,$0.5,$-0.9,ok
1,XMRUSDT,136.150,-0.55,$-75.0,135.610,-0.55,$-74,$1.6,$-0.3,ok
2,LTCUSDT,71.080,-0.75,$-54.0,71.270,-0.75,$-54,$0.5,$0.1,ok
3,BNBUSDT,272.305,0.17,$46.0,271.390,0.17,$46,$0.6,$0.2,ok
4,UNIUSDT,5.604,-8.00,$-45.0,5.553,-8.00,$-44,$-0.4,$-0.4,ok
5,ATOMUSDT,11.047,3.64,$40.0,10.989,3.64,$40,$-0.1,$0.2,ok
6,DOGEUSDT,0.065,-562.00,$-37.0,0.065,-562.00,$-37,$0.1,$0.0,ok
7,APTUSDT,10.360,3.30,$34.0,10.299,3.30,$34,$0.5,$0.2,ok
8,FILUSDT,5.299,5.20,$28.0,5.278,5.20,$27,$-0.0,$0.1,ok
9,LDOUSDT,2.228,12.00,$27.0,2.219,12.00,$27,$0.5,$0.1,ok
10,XRPUSDT,0.368,-53.90,$-20.0,0.368,-53.90,$-20,$0.2,$0.0,ok
11,ETCUSDT,16.853,-1.10,$-19.0,16.869,-1.10,$-19,$-0.3,$0.0,ok
12,ADAUSDT,0.311,60.00,$19.0,0.311,60.00,$19,$-0.0,$0.1,ok
13,LINKUSDT,6.139,2.79,$17.0,6.119,2.79,$17,$0.2,$0.1,ok
14,XLMUSDT,0.077,223.00,$17.0,0.077,223.00,$17,$0.1,$0.1,ok
15,DOTUSDT,5.396,3.00,$16.0,nan,nan,$nan,$nan,$nan,!!!KO!!!
16,AVAXUSDT,14.825,1.00,$15.0,14.803,1.00,$15,$-0.1,$0.0,ok
17,1000SHIBUSDT,0.010,964.00,$10.0,0.010,964.00,$10,$-0.0,$0.0,ok
18,MATICUSDT,1.006,6.00,$6.0,1.002,6.00,$6,$0.2,$0.0,ok
