05Jul23 13:47,arrival_price,totrd_qty,totrd_usd,px_trd,qty_trd,value_trd,PnLvsLast,PnLvsArrival,!!check!!
BTCUSDT,30332.950,0.00,$30.0,30299.400,0.00,$30,$0.1,$0.0,ok
UNIUSDT,5.434,-5.00,$-27.0,5.439,-5.00,$-27,$0.3,$0.0,ok
ETCUSDT,18.962,-1.16,$-22.0,18.945,-1.16,$-22,$-0.1,$-0.0,ok
SOLUSDT,18.773,1.00,$19.0,18.754,1.00,$19,$0.0,$0.0,ok
TRXUSDT,0.077,233.00,$18.0,0.077,233.00,$18,$-0.0,$0.0,ok
XMRUSDT,164.325,-0.08,$-13.0,163.890,-0.08,$-13,$-0.2,$-0.0,ok
XRPUSDT,0.477,-27.00,$-13.0,0.477,-27.00,$-13,$-0.0,$-0.0,ok
AVAXUSDT,12.707,-1.00,$-13.0,12.697,-1.00,$-13,$0.1,$-0.0,ok
LTCUSDT,102.785,0.08,$9.0,102.620,0.08,$9,$-0.1,$0.0,ok
ADAUSDT,0.286,-22.00,$-6.0,0.285,-22.00,$-6,$0.1,$-0.0,ok
