,reaction name,,total,fatal,name0,name1,level,vax_name,sheet
3,Blood disorders,,,,Blood disorders,,1,pfizer,Table 24
4,Anaemia deficiencies,,,,Blood disorders,,2,pfizer,Table 24
5,Anaemia folate deficiency,,1.0,0.0,Blood disorders,Anaemia deficiencies,3,pfizer,Table 24
6,Anaemia vitamin B12 deficiency,,3.0,0.0,Blood disorders,Anaemia deficiencies,3,pfizer,Table 24
7,Deficiency anaemia,,1.0,0.0,Blood disorders,Anaemia deficiencies,3,pfizer,Table 24
8,Iron deficiency anaemia,,8.0,0.0,Blood disorders,Anaemia deficiencies,3,pfizer,Table 24
9,Anaemias NEC,,,,Blood disorders,,2,pfizer,Table 24
10,Anaemia,,108.0,0.0,Blood disorders,Anaemias NEC,3,pfizer,Table 24
11,Anaemia macrocytic,,2.0,0.0,Blood disorders,Anaemias NEC,3,pfizer,Table 24
12,Anaemia megaloblastic,,1.0,0.0,Blood disorders,Anaemias NEC,3,pfizer,Table 24
13,Autoimmune anaemia,,3.0,0.0,Blood disorders,Anaemias NEC,3,pfizer,Table 24
14,Blood loss anaemia,,1.0,0.0,Blood disorders,Anaemias NEC,3,pfizer,Table 24
15,Microcytic anaemia,,1.0,0.0,Blood disorders,Anaemias NEC,3,pfizer,Table 24
16,Anaemias haemolytic NEC,,,,Blood disorders,,2,pfizer,Table 24
17,Coombs negative haemolytic anaemia,,1.0,0.0,Blood disorders,Anaemias haemolytic NEC,3,pfizer,Table 24
18,Haemolytic anaemia,,6.0,0.0,Blood disorders,Anaemias haemolytic NEC,3,pfizer,Table 24
19,Anaemias haemolytic immune,,,,Blood disorders,,2,pfizer,Table 24
20,Autoimmune haemolytic anaemia,,14.0,0.0,Blood disorders,Anaemias haemolytic immune,3,pfizer,Table 24
21,Evans syndrome,,1.0,0.0,Blood disorders,Anaemias haemolytic immune,3,pfizer,Table 24
22,Warm type haemolytic anaemia,,1.0,0.0,Blood disorders,Anaemias haemolytic immune,3,pfizer,Table 24
23,Anaemias haemolytic mechanical factor,,,,Blood disorders,,2,pfizer,Table 24
24,Microangiopathic haemolytic anaemia,,1.0,0.0,Blood disorders,Anaemias haemolytic mechanical factor,3,pfizer,Table 24
25,Bleeding tendencies,,,,Blood disorders,,2,pfizer,Table 24
26,Haemorrhagic diathesis,,1.0,0.0,Blood disorders,Bleeding tendencies,3,pfizer,Table 24
27,Increased tendency to bruise,,42.0,0.0,Blood disorders,Bleeding tendencies,3,pfizer,Table 24
28,Spontaneous haematoma,,2.0,0.0,Blood disorders,Bleeding tendencies,3,pfizer,Table 24
29,Coagulation factor deficiencies,,,,Blood disorders,,2,pfizer,Table 24
30,Acquired haemophilia,,2.0,0.0,Blood disorders,Coagulation factor deficiencies,3,pfizer,Table 24
31,Coagulopathies,,,,Blood disorders,,2,pfizer,Table 24
32,Abnormal clotting factor,,4.0,0.0,Blood disorders,Coagulopathies,3,pfizer,Table 24
33,Antiphospholipid syndrome,,5.0,0.0,Blood disorders,Coagulopathies,3,pfizer,Table 24
34,Coagulopathy,,23.0,1.0,Blood disorders,Coagulopathies,3,pfizer,Table 24
35,Disseminated intravascular coagulation,,2.0,0.0,Blood disorders,Coagulopathies,3,pfizer,Table 24
36,Hypercoagulation,,3.0,0.0,Blood disorders,Coagulopathies,3,pfizer,Table 24
37,Thrombotic microangiopathy,,2.0,0.0,Blood disorders,Coagulopathies,3,pfizer,Table 24
38,Eosinophilic disorders,,,,Blood disorders,,2,pfizer,Table 24
39,Eosinophilia,,12.0,0.0,Blood disorders,Eosinophilic disorders,3,pfizer,Table 24
40,Haematological disorders,,,,Blood disorders,,2,pfizer,Table 24
41,Blood disorder,,3.0,0.0,Blood disorders,Haematological disorders,3,pfizer,Table 24
42,Hypergammaglobulinaemia,,1.0,0.0,Blood disorders,Haematological disorders,3,pfizer,Table 24
43,Hyperviscosity syndrome,,1.0,0.0,Blood disorders,Haematological disorders,3,pfizer,Table 24
44,Mast cell activation syndrome,,7.0,0.0,Blood disorders,Haematological disorders,3,pfizer,Table 24
45,Methaemoglobinaemia,,1.0,0.0,Blood disorders,Haematological disorders,3,pfizer,Table 24
46,Haemolyses NEC,,,,Blood disorders,,2,pfizer,Table 24
47,Haemolysis,,6.0,0.0,Blood disorders,Haemolyses NEC,3,pfizer,Table 24
48,Intravascular haemolysis,,1.0,0.0,Blood disorders,Haemolyses NEC,3,pfizer,Table 24
49,Leukocytoses NEC,,,,Blood disorders,,2,pfizer,Table 24
50,Leukocytosis,,1.0,0.0,Blood disorders,Leukocytoses NEC,3,pfizer,Table 24
51,Lymphocytosis,,6.0,0.0,Blood disorders,Leukocytoses NEC,3,pfizer,Table 24
52,Neutrophilia,,9.0,0.0,Blood disorders,Leukocytoses NEC,3,pfizer,Table 24
53,Leukopenias NEC,,,,Blood disorders,,2,pfizer,Table 24
54,Leukopenia,,4.0,1.0,Blood disorders,Leukopenias NEC,3,pfizer,Table 24
55,Lymphopenia,,4.0,0.0,Blood disorders,Leukopenias NEC,3,pfizer,Table 24
56,Lymphatic system disorders NEC,,,,Blood disorders,,2,pfizer,Table 24
57,Blood disorders        Blood disorders cont'd,,,,Blood disorders,,2,pfizer,Table 24
58,Abdominal lymphadenopathy,,3.0,0.0,Blood disorders,Blood disorders        Blood disorders cont'd,3,pfizer,Table 24
59,Hilar lymphadenopathy,,2.0,0.0,Blood disorders,Blood disorders        Blood disorders cont'd,3,pfizer,Table 24
60,Lymph node pain,,1561.0,0.0,Blood disorders,Blood disorders        Blood disorders cont'd,3,pfizer,Table 24
61,Lymph node ulcer,,1.0,0.0,Blood disorders,Blood disorders        Blood disorders cont'd,3,pfizer,Table 24
62,Lymphadenitis,,133.0,0.0,Blood disorders,Blood disorders        Blood disorders cont'd,3,pfizer,Table 24
63,Lymphadenopathy,,9836.0,0.0,Blood disorders,Blood disorders        Blood disorders cont'd,3,pfizer,Table 24
64,Lymphatic disorder,,1.0,0.0,Blood disorders,Blood disorders        Blood disorders cont'd,3,pfizer,Table 24
65,Lymphatic insufficiency,,1.0,0.0,Blood disorders,Blood disorders        Blood disorders cont'd,3,pfizer,Table 24
66,Necrotic lymphadenopathy,,3.0,0.0,Blood disorders,Blood disorders        Blood disorders cont'd,3,pfizer,Table 24
67,Pseudolymphoma,,10.0,0.0,Blood disorders,Blood disorders        Blood disorders cont'd,3,pfizer,Table 24
68,Retroperitoneal lymphadenopathy,,1.0,0.0,Blood disorders,Blood disorders        Blood disorders cont'd,3,pfizer,Table 24
69,Marrow depression and hypoplastic anaemias,,,,Blood disorders,,2,pfizer,Table 24
70,Aplasia pure red cell,,2.0,0.0,Blood disorders,Marrow depression and hypoplastic anaemias,3,pfizer,Table 24
71,Hypoplastic anaemia,,2.0,0.0,Blood disorders,Marrow depression and hypoplastic anaemias,3,pfizer,Table 24
72,Myelosuppression,,1.0,0.0,Blood disorders,Marrow depression and hypoplastic anaemias,3,pfizer,Table 24
73,Pancytopenia,,7.0,0.0,Blood disorders,Marrow depression and hypoplastic anaemias,3,pfizer,Table 24
74,Neutropenias,,,,Blood disorders,,2,pfizer,Table 24
75,Autoimmune neutropenia,,2.0,0.0,Blood disorders,Neutropenias,3,pfizer,Table 24
76,Neutropenia,,36.0,0.0,Blood disorders,Neutropenias,3,pfizer,Table 24
