,strategy,symbol,qty_tm1,value_tm1,w%_tm1,px_trd,qty_trd,value_trd,px_tm1,px_t,qty_t,value_t,w%_t,rt_1d%,PnL_tm1,PnL_trd,PnL,PnL%,PnL_official%
0,TOTAL,TOTAL,,+1404710$,+52.8%,,,,,,,+1363226$,+52.1%,+160.1%,-41485$,,-41485$,-1.56%,-1.57%
1,MOZAIC,OM,58964.000,+357933$,+13.5%,-,-,,6.070,5.976,58964.000,+352386$,+13.5%,-1.5%,-5547$,,-5547$,-0.21%,-0.21%
2,MOZAIC,LTC,2655.259,+319082$,+12.0%,-,-,,120.170,128.460,2655.259,+341095$,+13.0%,+6.9%,+22012$,,+22012$,0.83%,0.83%
3,MOZAIC,BTC,2.543,+247649$,+9.3%,-,-,,97384.536,98136.000,2.543,+249560$,+9.5%,+0.8%,+1911$,,+1911$,0.07%,0.07%
4,MOZAIC,SOL,929.000,+186112$,+7.0%,-,-,,200.336,204.420,929.000,+189906$,+7.3%,+2.0%,+3794$,,+3794$,0.14%,0.14%
5,MOZAIC,TRX,723737.000,+178155$,+6.7%,-,-,,0.246,0.246,723737.000,+177685$,+6.8%,-0.3%,-470$,,-470$,-0.02%,-0.02%
6,MOZAIC,XRP,30853.300,+74748$,+2.8%,-,-,,2.423,2.507,30853.300,+77343$,+3.0%,+3.5%,+2595$,,+2595$,0.10%,0.10%
7,MOZAIC,BNB,112.120,+69339$,+2.6%,-,-,,618.434,642.520,112.120,+72039$,+2.8%,+3.9%,+2701$,,+2701$,0.10%,0.10%
8,MOZAIC,ONDO,13077.900,+17400$,+0.7%,-,-,,1.330,1.403,13077.900,+18346$,+0.7%,+5.4%,+946$,,+946$,0.04%,0.04%
9,MOZAIC,DOGE,-58538.000,-14946$,-0.6%,-,-,,0.255,0.268,-58538.000,-15674$,-0.6%,+4.9%,-728$,,-728$,-0.03%,-0.03%
10,MOZAIC,SUI,-7951.700,-25558$,-1.0%,-,-,,3.214,3.562,-7951.700,-28323$,-1.1%,+10.8%,-2764$,,-2764$,-0.10%,-0.10%
11,MOZAIC,LINK,-1367.770,-25710$,-1.0%,-,-,,18.797,19.583,-1367.770,-26785$,-1.0%,+4.2%,-1075$,,-1075$,-0.04%,-0.04%
12,MOZAIC,DOT,-6247.100,-30252$,-1.1%,-,-,,4.843,5.124,-6247.100,-32013$,-1.2%,+5.8%,-1761$,,-1761$,-0.07%,-0.07%
13,MOZAIC,1000SHIB,-2344087.000,-37032$,-1.4%,-,-,,0.016,0.016,-2344087.000,-38401$,-1.5%,+3.7%,-1369$,,-1369$,-0.05%,-0.05%
14,MOZAIC,BCH,-184.102,-60590$,-2.3%,-,-,,329.114,341.220,-184.102,-62819$,-2.4%,+3.7%,-2229$,,-2229$,-0.08%,-0.08%
15,MOZAIC,UNI,-9919.000,-93767$,-3.5%,-,-,,9.453,10.001,-9919.000,-99201$,-3.8%,+5.8%,-5434$,,-5434$,-0.20%,-0.20%
16,MOZAIC,ADA,-153008.000,-108865$,-4.1%,-,-,,0.712,0.807,-153008.000,-123508$,-4.7%,+13.5%,-14643$,,-14643$,-0.55%,-0.55%
17,MOZAIC,TON,-37332.900,-142503$,-5.4%,-,-,,3.817,3.894,-37332.900,-145386$,-5.6%,+2.0%,-2882$,,-2882$,-0.11%,-0.11%
18,MOZAIC,AVAX,-5597.000,-143635$,-5.4%,-,-,,25.663,26.810,-5597.000,-150056$,-5.7%,+4.5%,-6421$,,-6421$,-0.24%,-0.24%
19,OVERLAY,BTC,13.967,+1360170$,+51.2%,-,-,,97384.536,98136.000,13.967,+1370666$,+52.4%,+0.8%,+10496$,,+10496$,0.39%,0.39%
20,OVERLAY,ETH,34.287,+91205$,+3.4%,-,-,,2660.058,2712.420,34.287,+93001$,+3.6%,+2.0%,+1795$,,+1795$,0.07%,0.07%
21,OVERLAY,SOL,173.000,+34658$,+1.3%,-,-,,200.336,204.420,173.000,+35365$,+1.4%,+2.0%,+707$,,+707$,0.03%,0.03%
22,OVERLAY,DOT,-3585.400,-17362$,-0.7%,-,-,,4.843,5.124,-3585.400,-18373$,-0.7%,+5.8%,-1011$,,-1011$,-0.04%,-0.04%
23,OVERLAY,HBAR,-107065.000,-24822$,-0.9%,-,-,,0.232,0.244,-107065.000,-26101$,-1.0%,+5.2%,-1279$,,-1279$,-0.05%,-0.05%
24,OVERLAY,LTC,-249.701,-30007$,-1.1%,-,-,,120.170,128.460,-249.701,-32077$,-1.2%,+6.9%,-2070$,,-2070$,-0.08%,-0.08%
25,OVERLAY,SUI,-9657.500,-31041$,-1.2%,-,-,,3.214,3.562,-9657.500,-34399$,-1.3%,+10.8%,-3357$,,-3357$,-0.13%,-0.13%
26,OVERLAY,1000SHIB,-2017725.000,-31876$,-1.2%,-,-,,0.016,0.016,-2017725.000,-33054$,-1.3%,+3.7%,-1178$,,-1178$,-0.04%,-0.04%
27,OVERLAY,XRP,-28563.200,-69200$,-2.6%,-,-,,2.423,2.507,-28563.200,-71602$,-2.7%,+3.5%,-2402$,,-2402$,-0.09%,-0.09%
28,OVERLAY,XLM,-225754.000,-70659$,-2.7%,-,-,,0.313,0.336,-225754.000,-75831$,-2.9%,+7.3%,-5172$,,-5172$,-0.19%,-0.19%
29,OVERLAY,DOGE,-28003-,-71496$,-2.7%,-,-,,0.255,0.268,-28003-,-74981$,-2.9%,+4.9%,-3485$,,-3485$,-0.13%,-0.13%
30,OVERLAY,LINK,-3933.770,-73942$,-2.8%,-,-,,18.797,19.583,-3933.770,-77035$,-2.9%,+4.2%,-3093$,,-3093$,-0.12%,-0.12%
31,OVERLAY,AVAX,-310-,-79555$,-3.0%,-,-,,25.663,26.810,-310-,-83111$,-3.2%,+4.5%,-3556$,,-3556$,-0.13%,-0.13%
32,OVERLAY,TON,-21479.300,-81989$,-3.1%,-,-,,3.817,3.894,-21479.300,-83647$,-3.2%,+2.0%,-1658$,,-1658$,-0.06%,-0.06%
33,OVERLAY,ADA,-120975.000,-86074$,-3.2%,-,-,,0.712,0.807,-120975.000,-97651$,-3.7%,+13.5%,-11577$,,-11577$,-0.44%,-0.44%
34,OVERLAY,BNB,-146.010,-90297$,-3.4%,-,-,,618.434,642.520,-146.010,-93814$,-3.6%,+3.9%,-3517$,,-3517$,-0.13%,-0.13%
35,OVERLAY,TRX,-367905.000,-90563$,-3.4%,-,-,,0.246,0.246,-367905.000,-90324$,-3.5%,-0.3%,+239$,,+239$,0.01%,0.01%
