,2023-07-21 00:00:00,2023-07-21 00:00:00,2023-07-21 00:00:00,2023-07-21 00:00:00,2023-07-21 00:00:00,2023-07-21 00:00:00,2023-07-21 00:00:00,2023-07-21 00:00:00,2023-07-21 00:00:00,2023-07-21 00:00:00,2023-07-21 00:00:00,2023-07-21 00:00:00,2023-07-22 00:00:00,2023-07-22 00:00:00,2023-07-22 00:00:00,2023-07-22 00:00:00,2023-07-22 00:00:00,2023-07-22 00:00:00,2023-07-22 00:00:00,2023-07-22 00:00:00,2023-07-22 00:00:00,2023-07-22 00:00:00,2023-07-22 00:00:00,2023-07-22 00:00:00
,"10,20,30","10,20,30","10,20,30","10,20,30","10,20,30","10,20,30",obs10,obs10,obs20,obs20,obs30,obs30,"10,20,30","10,20,30","10,20,30","10,20,30","10,20,30","10,20,30",obs10,obs10,obs20,obs20,obs30,obs30
,"top3,5","top3,5","top3,5","top3,5","top3,5","top3,5",,,,,,,"top3,5","top3,5","top3,5","top3,5","top3,5","top3,5",,,,,,
,top,+SL,TopvBot,mix,vol_VT,w_VT,rt,rank,rt,rank,rt,rank,top,+SL,TopvBot,mix,vol_VT,w_VT,rt,rank,rt,rank,rt,rank
BTC,0.0,0.0,-0.16666666666666666,-0.05555555555555555,0.22127394709081183,1.0,-0.023524839903206862,18.0,-0.02236913087402992,15.0,-0.0030729591926885735,18.0,0.0,0.0,-0.13888888888888887,-0.04629629629629629,0.2210717554990876,1.0,-0.01744634628044761,18.0,-0.025053050540826294,13.0,-0.001169151531942969,19.0
ETH,0.0,0.0,-0.027777777777777776,-0.009259259259259259,0.32919732598957197,1.0,0.007150082521428791,13.0,-0.01702779942842303,14.0,0.0013868964750600732,17.0,0.0,0.0,-0.027777777777777776,-0.009259259259259259,0.328169070051926,1.0,0.007693047408404485,13.0,-0.026457047298552916,14.0,0.0075907714168197415,17.0
XRP,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.26666666666666666,2.1891064680515084,0.2976011683798087,0.6910715372550897,1.0,0.6985762925979373,1.0,0.6078541741495176,2.0,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.26666666666666666,2.188371423224704,0.2969247999063999,0.7034225316546974,1.0,0.6559587459429559,1.0,0.6247711875442734,2.0
BNB,0.0,0.0,-0.13888888888888887,-0.04629629629629629,0.3664676386110669,1.0,-0.019710378117458016,16.0,-0.01694231544977831,13.0,-0.020498392282958466,19.0,0.0,0.0,-0.06944444444444443,-0.023148148148148143,0.3542817634368657,1.0,-0.005740057400574261,16.0,-0.016227180527383367,11.0,0.007059800664451776,18.0
ADA,0.0,0.0,0.0,0.0,0.8328376745919752,0.7684272493970152,0.0979353836273602,7.0,0.09906185631918052,7.0,0.12287102301791863,11.0,0.0,0.0,0.0,0.0,0.8326546575025087,0.7804642126912051,0.10949412896239585,6.0,0.09960152013076917,8.0,0.10604968358100164,12.0
SOL,0.15555555555555556,0.15555555555555556,0.15555555555555556,0.15555555555555556,0.8039056145139796,0.8068002073025324,0.15947827419574212,5.0,0.34933986637612535,3.0,0.4567971057427942,5.0,0.15555555555555556,0.15555555555555556,0.15555555555555556,0.15555555555555556,0.7905981229660382,0.8085526313844358,0.1711562005569769,4.0,0.3104083861615463,3.0,0.5158758041539386,4.0
DOGE,0.0,0.0,0.0,0.0,0.45479069959417967,1.0,0.12162990196078427,6.0,0.06874908772441968,9.0,0.1159884163999394,13.0,0.0,0.0,0.0,0.0,0.46034145196947857,1.0,0.10241427033676764,7.0,0.054109689751506984,9.0,0.09366895499618666,13.0
TRX,0.0,0.0,0.0,0.0,0.24436994916027108,1.0,0.039953452288595814,11.0,0.04103028734144454,10.0,0.11198672749896277,14.0,0.0,0.0,0.0,0.0,0.2932069717985646,1.0,0.09519527235354563,8.0,0.12126792055767455,6.0,0.1797675062275117,7.0
MATIC,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.7388058480296169,0.8617554007934748,0.04834031109129766,10.0,0.14339888676730173,5.0,0.1532365613326876,8.0,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.7364118846914628,0.8797981252226676,0.0685548774960627,9.0,0.12787039794462784,5.0,0.1653289664213573,8.0
LTC,0.0,0.0,-0.09722222222222221,-0.032407407407407406,0.9850079003360306,0.6522057266975455,-0.016938305795374586,15.0,-0.07498169424504952,18.0,0.1713024929121656,7.0,0.0,0.0,-0.13888888888888887,-0.04629629629629629,0.9854273056645136,0.6598931843879179,-0.017366294728662912,17.0,-0.11277706674332,19.0,0.15434757227102902,9.0
DOT,0.0,0.0,0.0,0.0,0.4521362221489146,1.0,0.051975450709627946,9.0,0.025042048215287105,11.0,0.13773076125285244,9.0,0.0,0.0,-0.027777777777777776,-0.009259259259259259,0.46016981773692694,1.0,0.03905187487856998,11.0,-0.026928675400291202,15.0,0.10839378238341979,11.0
AVAX,0.0,0.0,0.0,0.0,0.5191992347553785,1.0,0.05350414468726461,8.0,0.07838130152738643,8.0,0.08423905722326253,15.0,0.0,0.0,0.0,0.0,0.5179286218983588,1.0,0.05764796310530351,10.0,0.05065421198902653,10.0,0.08826708744484213,14.0
BCH,0.08888888888888889,0.08888888888888889,-0.04999999999999999,0.0425925925925926,1.4694023484568077,0.4084737585823365,-0.042907301182440016,19.0,-0.065868478324417,17.0,0.4995935050354292,3.0,0.08888888888888889,0.08888888888888889,-0.04999999999999999,0.0425925925925926,1.4672564951113458,0.44235671780614855,-0.0579720819999352,19.0,-0.07937574846349771,18.0,0.5162126740871247,3.0
XLM,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.26666666666666666,1.9660027927203876,0.3319593142281883,0.5900578811232386,2.0,0.45693675619199126,2.0,0.8043859595695746,1.0,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.26666666666666666,1.9650866858234872,0.33062007969001167,0.6541046142400535,2.0,0.48144877379747597,2.0,0.8334423694171766,1.0
LINK,0.15555555555555556,0.15555555555555556,0.15555555555555556,0.15555555555555556,0.8953162904104157,0.7271538021723327,0.3109651938179616,3.0,0.2514958656030246,4.0,0.46465925192387925,4.0,0.15555555555555556,0.15555555555555556,0.15555555555555556,0.15555555555555556,0.8989380491120535,0.7260004167935312,0.2856374906522974,3.0,0.22947126378306515,4.0,0.4464880801018192,5.0
UNI,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.7075857504135696,0.9132850590846547,0.1729773860390278,4.0,0.1144744409286722,6.0,0.2899633521723133,6.0,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.7080371420819191,0.9186165770298343,0.1594598196702235,5.0,0.1071414246285094,7.0,0.28854199437768036,6.0
ATOM,0.0,0.0,0.0,0.0,0.4256605978596742,1.0,0.024787997390736782,12.0,-0.01391358928758224,12.0,0.04292985173710995,16.0,0.0,0.0,0.0,0.0,0.4254096158223944,1.0,0.038151946190318364,12.0,-0.019168663402437836,12.0,0.045878693623639055,16.0
XMR,0.0,0.0,-0.13888888888888887,-0.04629629629629629,0.2796254801031554,1.0,-0.02056866303690219,17.0,-0.030538922155687986,16.0,0.11655172413793213,12.0,0.0,0.0,-0.09722222222222221,-0.032407407407407406,0.2648750101807142,1.0,-0.004892966360855788,15.0,-0.035566093657379394,16.0,0.08539026017344975,15.0
ETC,0.0,0.0,-0.09722222222222221,-0.032407407407407406,0.758988129332364,0.8358098115443742,-0.0031166467677730125,14.0,-0.0797574684069533,19.0,0.13657756266063048,10.0,0.0,0.0,-0.06944444444444443,-0.023148148148148143,0.7579395121019225,0.856403380869429,0.0007032713793684309,14.0,-0.06326293746996325,17.0,0.14662988542847755,10.0
