,symbolB,symbol,id,name,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,price,volume,volume_change_24h,percent_change_1h,percent_change_24h,percent_change_7d,percent_change_30d,percent_change_60d,percent_change_90d,marketCap,market_cap_dominance,fully_diluted_market_cap,tvl,last_updated,isduplicate,$\mu$,$\sigma$,sharpe,dd,n,d0,d1,"$ho$ BTC",beta BTC,$\sigma$ ex.BTC,volatility
BTC,BTCUSDT,BTC,1,Bitcoin,bitcoin,9934,2013-04-28T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio']",21000000.0,19264718.0,19264718.0,,1,,,,2023-01-17T08:27:00.000Z,21172.07603875531,22888.91208961937,-1.5046,0.1126221,1.71001744,22.80698563,26.33835642,26.64011017,10.36377304,407.8740743611781,41.205,444613596813.86,,2023-01-17T08:27:00.000Z,False,-0.1408820229867116,0.7201336302252065,-0.19563316733680905,0.7662925431645935,747,2020-12-31,2023-01-17,1.0,1.0,1.0,0.7201336302252065
ETH,ETHUSDT,ETH,1027,Ethereum,ethereum,6361,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem']",,122373866.2178,122373866.2178,,2,,,,2023-01-17T08:27:00.000Z,1564.9203979853405,7634.955308872561,-0.298,-0.05108638,1.47207788,18.00237007,31.70575572,29.34846982,20.71737899,191.5053594245644,19.3466,191505359424.56,,2023-01-17T08:27:00.000Z,False,0.44591885568464007,0.9677300917247886,0.46078845692384884,0.7930253453633335,747,2020-12-31,2023-01-17,0.8148181802301374,1.094969099063659,1.3438201621303976,0.9677300917247886
BNB,BNBUSDT,BNB,1839,BNB,bnb,1169,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain']",200000000.0,157904427.17979723,159979963.59042934,,4,,,,2023-01-17T08:27:00.000Z,301.7269073636622,545.9911872781494,-4.323,0.67387336,1.01100401,9.64127982,21.56070786,11.52649546,11.37454415,47.64401447199082,4.8127,60345381472.73,,2023-01-17T08:27:00.000Z,False,1.7759339699837082,1.1567303989740965,1.535305004138201,0.7086445315388596,747,2020-12-31,2023-01-17,0.6478260634939804,1.0405847879328511,1.6062718784739358,1.0
XRP,XRPUSDT,XRP,52,XRP,xrp,875,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio']",100000000000.0,50713323547.0,99989156648.0,,6,,,,2023-01-17T08:27:00.000Z,0.3893449528304637,1126.2521072889251,-6.351,0.1825368,1.02582399,11.68117197,10.13026292,2.1817465,-14.6049661,19.744976564282762,1.9947,38934495283.05,,2023-01-17T08:27:00.000Z,False,0.3231689901877468,1.233178155167542,0.26206188362446337,0.8323958401465106,747,2020-12-31,2023-01-17,0.5970487464310515,1.0224039549974726,1.7124296150172753,1.0
BUSD,BUSDUSDT,BUSD,4687,Binance USD,binance-usd,6028,2019-09-20T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'binance-chain', 'harmony-ecosystem', 'moonriver-ecosystem', 'usd-stablecoin']",,16242596010.614058,16242596010.614058,"{'id': 1839, 'name': 'BNB', 'symbol': 'BNB', 'slug': 'bnb', 'token_address': 'BUSD-BD1'}",7,,,,2023-01-17T08:27:00.000Z,1.0000940694977634,7844.933588400296,-6.7257,-0.01442169,-0.02736064,-0.0232211,-0.00994766,-0.06477199,0.04577339,16.24412394346315,1.641,16244123943.46,,2023-01-17T08:27:00.000Z,False,0.0005869283563928462,0.008104781197374865,0.07241754491570385,0.005669949268874985,747,2020-12-31,2023-01-17,-0.15032125323882037,-0.0016917983214237804,0.011254551734849922,0.008104781197374865
ADA,ADAUSDT,ADA,2010,Cardano,cardano,636,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano']",45000000000.0,34518582983.094,35303937971.934,,8,,,,2023-01-17T08:27:00.000Z,0.35063447619845733,321.7079698428263,-16.5889,0.09057529,0.3391334,10.81794796,31.11440442,7.27191463,-1.60027315,12.103405263390147,1.2226,15778551428.93,,2023-01-17T08:27:00.000Z,False,0.3798778474636564,1.1302679172209782,0.3360953997505944,0.9177343223196224,747,2020-12-31,2023-01-17,0.6432846502618212,1.0096515026027508,1.569525251677956,1.0
DOGE,DOGEUSDT,DOGE,74,Dogecoin,dogecoin,634,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain']",,132670764299.89409,132670764299.89409,,9,,,,2023-01-17T08:27:00.000Z,0.08425520251481367,427.4457918935698,-18.8565,0.0959536,-0.2509602,10.4578506,6.40882893,-0.81714457,42.17737984,11.178202113882687,1.1294,11178202113.88,,2023-01-17T08:27:00.000Z,False,3.112377223975818,3.228103537302272,0.9641503712662306,0.9233133281145807,747,2020-12-31,2023-01-17,0.3150313871033118,1.412173924930309,4.4826451672486805,1.0
MATIC,MATICUSDT,MATIC,3890,Polygon,polygon,571,2019-04-28T00:00:00.000Z,"['platform', 'enterprise-solutions', 'scaling', 'state-channel', 'coinbase-ventures-portfolio', 'binance-launchpad', 'binance-labs-portfolio', 'polygon-ecosystem', 'moonriver-ecosystem', 'injective-ecosystem']",10000000000.0,8734317475.28493,10000000000.0,,10,,,,2023-01-17T08:27:00.000Z,1.015166052354608,563.4404988401005,3.3958,-0.05582466,2.73625091,19.61623902,24.40195854,14.71868982,18.64471511,8.866782591396868,0.8958,10151660523.55,,2023-01-17T08:27:00.000Z,False,6.256415705341064,1.6500826618985107,3.791577143258214,0.8796940194714882,747,2020-12-31,2023-01-17,0.5849265183065979,1.3402750070713123,2.2913562047956035,1.0
SOL,SOLUSDT,SOL,5426,Solana,solana,422,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okex-blockdream-ventures-portfolio']",,370761390.7211857,538755267.1040359,,11,,,,2023-01-17T08:27:00.000Z,23.486682044912442,1157.4343347269812,-31.4886,-0.21029686,0.10948002,46.62008983,88.52769532,73.72337743,-21.45563958,8.70795489839804,0.8797,12653573658.49,,2023-01-17T08:27:00.000Z,False,2.8309954531776356,1.4429050037163271,1.9620109750026238,0.9626992725584275,747,2020-12-31,2023-01-17,0.5367823038355389,1.0755307620732288,2.003662852497375,1.0
DOT,DOTUSDT,DOT,6636,Polkadot,polkadot-new,459,2020-08-19T00:00:00.000Z,"['substrate', 'polkadot', 'binance-chain', 'polkadot-ecosystem', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'arrington-xrp-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'coinfund-portfolio', 'fabric-ventures-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', '1confirmation-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'exnetwork-capital-portfolio', 'web3', 'spartan-group', 'injective-ecosystem', 'bnb-chain']",,1155740181.1397305,1271963851.4449103,,12,904869778.0,5419219648.741134,,2023-01-17T08:27:00.000Z,5.9889497698984195,290.8676402378472,-4.0542,-1.247602,3.34843979,22.22214302,27.90993255,5.27629431,-1.59659588,6.921669891899146,0.6992,7617727615.43,,2023-01-17T08:27:00.000Z,False,-0.19173736399892805,1.2171779607759525,-0.15752615490728672,0.920364176885916,747,2020-12-31,2023-01-17,0.7097065428990313,1.1995539805092104,1.690211246481165,1.0
