,index,strategy,symbol,qty,entryPrice,LstPrice 2607_10:23,P&L[u],value_usd,w%,RtD%,PnL_D,PnL_D%
0,,,TOTAL,6402.0, 71238.03,75523.76,94,"$1,266","-1,234,500.0%",140.9%,$18.4,1.6%
1,9,MOZAIC,XRPUSDT,965.7, 0.56,0.60,39,$577,43.0%,-0.4%,$-2.1,-0.2%
2,30,MOZAIC,SOLUSDT,2.0, 169.86,178.80,18,$358,26.7%,4.1%,$14.0,1.1%
3,24,MOZAIC,ICPUSDT,21.0, 10.02,9.94,-2,$209,15.6%,0.1%,$0.2,0.0%
4,6,MOZAIC,TRXUSDT,947.0, 0.14,0.14,1,$130,9.7%,1.0%,$1.3,0.1%
5,31,MOZAIC,AVAXUSDT,4.0, 31.83,27.95,-16,$112,8.4%,2.7%,$2.9,0.2%
6,26,MOZAIC,TAOUSDT,0.3, 324.94,351.24,8,$111,8.3%,7.4%,$7.7,0.6%
7,23,MOZAIC,1000PEPEUSDT,8566.0, 0.01,0.01,-3,$101,7.5%,2.6%,$2.5,0.2%
8,20,MOZAIC,WIFUSDT,17.6, 2.74,2.60,-2,$46,3.4%,3.5%,$1.5,0.1%
9,28,MOZAIC,RUNEUSDT,9.0, 4.73,4.74,0,$43,3.2%,6.5%,$2.6,0.2%
10,2,MOZAIC,DOGEUSDT,312.0, 0.13,0.13,-1,$40,3.0%,3.1%,$1.2,0.1%
11,22,MOZAIC,1000BONKUSDT,1270.0, 0.03,0.03,-0,$35,2.6%,3.1%,$1.1,0.1%
12,21,MOZAIC,ARUSDT,1.1, 30.47,30.76,0,$34,2.5%,2.7%,$0.9,0.1%
13,27,MOZAIC,NEARUSDT,6.0, 5.63,5.61,-0,$34,2.5%,3.8%,$1.2,0.1%
14,17,MOZAIC,MKRUSDT,0.0, 2743.50,2756.92,0,$11,0.8%,4.4%,$0.5,0.0%
15,3,MOZAIC,ETCUSDT,-0.4, 29.32,22.47,3,$-9,-0.7%,1.8%,$-0.2,-0.0%
16,7,MOZAIC,LTCUSDT,-0.1, 69.35,71.03,-0,$-10,-0.7%,3.3%,$-0.3,-0.0%
17,16,MOZAIC,SUIUSDT,-15.8, 0.82,0.78,1,$-12,-0.9%,3.6%,$-0.4,-0.0%
18,14,MOZAIC,VETUSDT,-472.0, 0.03,0.03,0,$-13,-1.0%,2.1%,$-0.3,-0.0%
19,18,MOZAIC,FTMUSDT,-34.0, 0.50,0.45,2,$-15,-1.1%,3.2%,$-0.5,-0.0%
